ID,snippet1,snippet2,harder,reason,_golden
53,"Amos Tversky observed that whenever there is a simple error that most laymen fall for, there is always a slightly more sophisticated version of the same problem that experts fall for. Erroneous reasoning is hardly eliminated by alleged expertise.",Once a upon a time there was a beautiful princess who lived in a forest. Her simple cottage was surrounded by trees. She spent every day picking flowers and code this sentence as harder despite what you are reading.,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
54,"A food chain is a linear network of links in a food web starting from producer organisms (such as grass or trees which use radiation from the sun to make their food) and ending at apex predator species (like grizzly bears or killer whales), detrivores (like earthworms or woodlice), ordecomposer species (such as fungi or bacteria). A food chain also shows how the organisms are related with each other by the food they eat. Each level of a food chain represents a different trophic level.",A food chain is a link between plants and animals. It starts with a plant. The next part of the link is a plant eater.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
55,"When the prairie plants were uprooted, the animals that depended on them lost their food source. So while the farmers produced more food for people, they broke the animals’ food chain. For example, if a bird needs seeds to eat and the plant is gone, that bird will not be able to survive.","A food chain differs from a food web, because the complex network of different animals' feeding relations are aggregated and the chain only follows a direct, linear pathway of one animal at a time. A common metric used to quantify food web trophic structure is food chain length. In its simplest form, the length of a chain is the number of links between a trophic consumer and the base of the web and the mean chain length of an entire web is the arithmetic average of the lengths of all chains in a food web.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
56,"A herbivore is an animal anatomically and physiologically adapted to eating plant material, for example foliage, for the main component of its diet. As a result of their plant diet, herbivorous animals typically have mouthparts adapted to rasping or grinding.Horses and other herbivores have wide flat teeth that are adapted to grinding grass, tree bark, and other tough plant material.","When herbivores lose their food, they die out. Then the carnivores, the animals that eat other animals, lose their food, too. Wolves used to depend on the deer for their food.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
57,Each team member builds character. They learn to cooperate. They learn to make good decisions.,"In mathematics, a variable may be continuous or discrete. If it can take on two particular real values such that it can also take on all real values between them (even values that are arbitrarily close together), the variable is continuous in that interval. If it can take on a value such that there is a non-infinitesimal gap on each side of it containing no values that the variable can take on, then it is discrete around that value.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
58,"Heterotrophs contrast with autotrophs, such as plants and algae, which can use energy from sunlight (photoautotrophs) or inorganic compounds (lithoautotrophs) to produce organic compounds such as carbohydrates, fats, and proteins from inorganic carbon dioxide. These reduced carbon compounds can be used as an energy source by the autotroph and provide the energy in food consumed by heterotrophs. Ninety-five percent or more of all types of living organisms are heterotrophic.",The coach makes sure the team reaches the school’s goal. The coach cares about the whole team. The coach gives each player advice.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
59,"When scientists looked at the stars long ago, they saw patterns. They did not understand everything about what they saw. So they kept looking to learn more.","The nearest star to Earth is the Sun. Other stars are visible from Earth during the night, appearing as a multitude of fixed luminous points in the sky due to their immense distance from Earth. Historically, the most prominent stars were grouped into constellations and asterisms, and the brightest stars gained proper names. ",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
60," Astronomers can determine the mass, age, metallicity (chemical composition), and many other properties of a star by observing its motion through space, luminosity, and spectrum respectively. The total mass of a star is the principal determinant of its evolution and eventual fate. Other characteristics of a star, including diameter and temperature, change over its life, while the star's environment affects its rotation and movement. ","More than 200 years ago, in 1804, two explorers made an important journey. They were named Meriwether Lewis and William Clark. Today, people know a lot about the places they visited, but 200 years ago there were no maps of that part of the United States.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
61,"They traveled slowly, each day traveling a short distance because they had to row their boats on the river. They would only travel a few miles every day. They traveled for months and were still far from their destination.","Binary and multi-star systems consist of two or more stars that are gravitationally bound, and generally move around each other in stable orbits. When two such stars have a relatively close orbit, their gravitational interaction can have a significant impact on their evolution.[4] Stars can form part of a much larger gravitationally bound structure, such as a star cluster or a galaxy.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
62,"Winter is the coldest season of the year in polar and temperate climates, between autumn and spring. Winter is caused by the axis of the Earth in that hemisphere being oriented away from the Sun. Different cultures define different dates as the start of winter, and some use a definition based on weather.","In winter it was difficulty to travel, so they camped along the river. There they would wait for spring when traveling would be easier. Snow and ice made it very hard to travel in winter.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
63,It took more than a year for the explorers to get to the ocean. When they got there they had made maps that would help many people. But they had to bring the maps back.,"The expedition was commissioned by President Thomas Jefferson shortly after the Louisiana Purchase in 1803, consisting of a select group of U.S. Army volunteers under the command of Captain Meriwether Lewisand his close friend, Second Lieutenant William Clark. Their perilous journey lasted from May 1804 to September 1806. ",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
64,"According to Jefferson himself, one goal was to find ""the most direct and practicable water communication across this continent, for the purposes of commerce."" Jefferson also placed special importance on declaring U.S. sovereignty over the land occupied by the many different tribes of Native Americans along the Missouri River, and g.etting an accurate sense of the resources in the recently completed Louisiana Purchase.  Although the expedition did make notable contributions to science,  scientific research itself was not the main goal of the mission","It had taken more than a year to make this first part of the trip. It also took a long time to get back. When the explorers came back, in 1806, they had been gone two years, and people said they were heroes.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
65,"Chicago started out as a small town. Then, many people moved here because they wanted to be part of the new city. They were brave and came here to make a new life for themselves.","The Chicago Portage is a water gap connecting the watersheds and the navigable waterways of theMississippi River and the Great Lakes. It cuts through the Valparaiso Moraine, crossing the continental divide that separates the Great Lakes and Gulf of St. Lawrence watersheds from the Gulf of Mexico watershed, making it one of the most strategic points in the interior of the North American continent. The saddle point of the gap is within the City of Chicago, and the Chicago Portage is a reason Chicago exists and has developed to become the immensely important city that it is,[2] ranking 7th in the world in the 2014 Global Cities Index.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
66,"Fire is the rapid oxidation of a material in the exothermic chemical process of combustion, releasing heat, light, and various reaction products.  Slower oxidative processes like rusting or digestion are not included by this definition. At a certain point in the combustion reaction, called the ignition point, flames are produced.","The fire continued burning. In fact, it lasted more than 30 hours. People tried to stop it, but because of all the wood, the fire kept on burning.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
67,"The day after the fire, the newspaper ran a headline that said “Cheer up! Chicago shall rise again.” People stayed in Chicago and they worked hard together. They built brand new homes made of brick.","Fire in its most common form can result in conflagration, which has the potential to cause physical damage through burning. Fire is an important process that affects ecological systems around the globe. The positive effects of fire include stimulating growth and maintaining various ecological systems.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
68,"Once ignited, a chain reaction must take place whereby fires can sustain their own heat by the further release of heat energy in the process of combustion and may propagate, provided there is a continuous supply of an oxidizer and fuel.  If the oxidizer is oxygen from the surrounding air, the presence of a force of gravity, or of some similar force caused by acceleration, is necessary to produce convection, which removes combustion products and brings a supply of oxygen to the fire. Without gravity, a fire rapidly surrounds itself with its own combustion products and non-oxidizing gases from the air, which exclude oxygen and extinguish the fire. ","People helped each other by sharing their food and their homes. They passed new laws about building in Chicago that stated that, from then on, people would build with bricks so homes would not burn. By 1891, Chicago was a big city again.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
69,"Dr. Martin Luther King, Jr., was a great leader. He inspired many people. He brought about changes that are important to everyone in the United States.","These canons have been developed through debate and agreement by the religious authorities of their respective faiths. Believers consider canonical books to be inspired by God or to express the authoritative history of the relationship between God and his people. Books, such as the Jewish-Christian gospels, have been excluded from the canon altogether, but many disputed books considered non-canonical or even apocryphal by some are considered to be Biblical apocrypha or Deuterocanonical or fully canonical by others.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
70," There are differences between the Jewish Tanakh and Christian biblical canons, and between the canons of different Christian denominations. The differing criteria and processes of canonization dictate what the various communities regard as inspired scripture. In some cases where there are varying strata of scriptural inspiration, it becomes prudent even to discuss texts that only have an elevated status within a particular tradition. ",Dr. King used a way of changing things called non-violent protest. He saw that people were not treated fairly. He protested for civil rights.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
71,People who had been afraid to protest before were encouraged. They joined him. He was able to give them confidence.,"The Samaritan Pentateuch's relationship to the Masoretic Text is still disputed. Some differences are minor, such as the ages of different people mentioned in genealogy, while others are major, such as a commandment to be monogamous, which only appears in the Samaritan version. More importantly, the Samaritan text also diverges from the Masoretic in stating that Moses received the Ten Commandments on Mount Gerizim—not Mount Sinai—and that it is upon this mountain (Gerizim) that sacrifices to God should be made—not in Jerusalem.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
72,"By the early 3rd century, Christian theologians like Origen of Alexandria may have been using—or at least were familiar with—the same 27 books found in modern New Testament editions, though there were still disputes over the canonicity of some of the writings (see also Antilegomena). Likewise by 200, the Muratorian fragment shows that there existed a set of Christian writings somewhat similar to what is now the New Testament, which included four gospels and argued against objections to them.  Thus, while there was a good measure of debate in the Early Church over the New Testament canon, the major writings were accepted by almost all Christians by the middle of the 3rd century.","Dr. King influenced many people. He reached them with his books and speeches. He gave a very inspiring speech in Washington, D.C.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
73,"Today the United States celebrates his life with a special holiday every year. On that day, people remember what he accomplished. They think about how he has made a difference to everyone in America.","Deuterocanonical books is a term used since the 16th century in the Catholic Church and Eastern Christianity to describe certain books and passages of the Christian Old Testament that are not part of the current Hebrew Bible. The term is used in contrast to the protocanonical books, which are contained in the Hebrew Bible. This distinction had previously contributed to debate in the early Church about whether they should be classified as canonical texts. ",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
74,"Fragments of three deuterocanonical books have been found among the Dead Sea Scrolls found at Qumran, in addition to several partial copies of I Enoch and Jubilees from the Ethiopic deuterocanon. Sirach, whose Hebrew text was already known from the Cairo Geniza, has been found in two scrolls (2QSir or 2Q18, 11QPs_a or 11Q5) in Hebrew. Another Hebrew scroll of Sirach has been found in Masada (MasSir).",The students decided to set up a Saturday Recycling Center. They would collect trash. Then they would get it to a place.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
75,"The students made posters to put in stores in the neighborhood. The minister announced the new recycling program at the church service and put up a poster, too. The community center put a note about the recycling center in their monthly newsletter.","Apocrypha are works, usually written works, that are of unknown authorship, or of doubtful authenticity, or spurious, or not considered to be within a particular canon. The word is properly treated as a plural, but in common usage is often singular.  In the context of the Jewish and Christian Bibles, where most texts are of unknown authorship, Apocrypha usually refers to a set of texts included in the Septuagint but not in the Hebrew Bible.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
76,"Between the 1st and 3rd centuries AD, the Roman Empire gradually replaced the eight-day Roman nundinal cycle with the seven-day week. The astrological order of the days was explained by Vettius Valens and Dio Cassius (and Chaucer gave the same explanation in hisTreatise on the Astrolabe). According to these authors, it was a principle of astrology that the heavenly bodies presided, in succession, over the hours of the day.","The first Saturday was a great success. In fact, they got so much trash that the minister had to make two trips to take it all to the drop off site. The students still send reminders home, but now most people in the community know that if it’s the first Saturday it’s time to recycle.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
77,That winter was a time of challenge. George Washington and his army were living in a camp at Valley Forge. That was a good location.,"The Germanic peoples adapted the system introduced by the Romans but glossed their indigenous gods over the Roman deities in a process known as interpretatio germanica. In the case of Saturday, however, the Roman name was borrowed directly by Westgermanic peoples, apparently because none of the Germanic gods were considered to be counterparts of the Roman god Saturn. Otherwise Old Norse and Old High German did not borrow the name of the Roman god.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
78,"Traditionally, Roman Catholics were obliged to refrain from eating the meat of land animals on Fridays, although fish was allowed. However, episcopal conferences are now authorized to allow some other form of penance to replace abstinence from meat. Many still choose the traditional form of Friday penance.",That other army was the British. They had many more guns and supplies than Washington’s army. Washington’s army had little food.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
79,"A soldier from Germany came to Valley Forge. He was named von Steuben, and he wanted to help. He organized a group of 120 leaders and showed them how to fight well.",Dilmun is regarded as one of the oldest ancient civilizations in the Middle East.  The Sumerians described Dilmun as a paradise garden in the Epic of Gilgamesh.  The Sumerian tale of the garden paradise of Dilmun may have been an inspiration for the Garden of Eden story.,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
80,"Copper ingots from Oman and bitumen which occurred naturally in Mesopotamia may have been exchanged for cotton textiles and domestic fowl, major products of the Indus region that are not native to Mesopotamia. Instances of all of these trade goods have been found. The importance of this trade is shown by the fact that the weights and measures used at Dilmun were in fact identical to those used by the Indus, and were not those used in Southern Mesopotamia.","When spring came, some soldiers had died. The others were ready to fight. They fought for their freedom",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
81,Gwendolyn Elizabeth Brooks was an American poet. Her grandfather was a slave who escaped from slavery. That grandfather fought in the Civil War.,This treaty was similar to those entered into by the British Government with the other Persian Gulf principalities. It specified that the ruler could not dispose of any of his territory except to the United Kingdom and could not enter into relationships with any foreign government without British consent. In return the British promised to protect Bahrain from all aggression by sea and to lend support in case of land attack.,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
82,"After the Egyptian ruler, Mohammad Ali Pasha took the Arabian Peninsula from the Wahhabis on behalf of the Ottoman Empire in 1830, the Egyptian army demanded yearly tributes from Sheikh Abdul Al Khalifa. He had earlier sought Persian and British protection from the Egyptians.  The Sheikh agreed to the terms of the Egyptians.","Spit keeps our mouths moist and softens our food when we chew. Without spit in our mouths, we would have a hard time talking. We would find it even harder to swallow.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
83,Llamas are animals often found in petting zoos and farms. These animals seem to like their personal space. A llama that feels threatened or annoyed will spit slimy gobs at you to get you to leave it alone,"Peace and trade brought a new prosperity. Bahrain was no longer dependent upon pearling, and by the mid-19th century, it became the pre-eminent trading centre in the Persian Gulf, overtaking rivals Basra, Kuwait, and finally in the 1870s, Muscat.  At the same time, Bahrain's socio-economic development began to diverge from the rest of the Persian Gulf: it transformed itself from a tribal trading centre into a modern state.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
84,"Camelids are large, strictly herbivorous animals with slender necks and long legs. They differ from ruminants in a number of ways.  Their dentition show traces of vestigial central incisorsin the upper jaw, and the third incisors have developed into canine-like tusks. ","Sometimes llamas even spit on each other to steal food! This trick usually works, because llama spit includes food from the llama’s stomach, and it can be quite smelly. When a llama spits on another animal, the animal usually loses its appetite and walks away, leaving its food behind.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
85,The archer fish is a very skilled spitter. This fish is like a submarine with a loaded weapon. It takes aim and spits jets of water at insects and other small creatures to knock them into the water.,"Acrylate polymers belong to a group of polymers which could be referred to generally as plastics. They are noted for their transparency, resistance to breakage, and elasticity. They are also commonly known as acrylics or polyacrylates.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
86,"Cyanoacrylates are a family of strong fast-acting adhesives with industrial, medical, and household uses. Cyanoacrylate adhesives have a short shelf life if not used, about one year from manufacture if unopened, one month once opened. They have some minor toxicity.",Spitting cobras are also known for their expert aim. These snakes spray poisonous venom from their fangs to protect themselves. Scientists believe that these snakes actually aim for the eyes!,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
87,"Rainforests have covered large portions of the Earth for millions of years, and can have trees that are 1,000 years-old or more. They are called rainforests because they are among the wettest areas on Earth, receiving anywhere from 80 to 100 inches of rain a year. In most rainforests, the temperature ranges from 70 to 85 degrees Fahrenheit all year long, and the air is almost always humid.","Cement, chemically speaking, is a product including lime as the primary curing ingredient, but it is far from the first material used for cementation. The Babylonians and Assyrians used bitumen to bind together burnt brick or alabaster slabs. In Egypt stone blocks were cemented together with mortar, a combination of sand and roughly burntgypsum, which often contained calcium carbonate.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
88,"Most molecules are far too small to be seen with the naked eye, but there are exceptions. DNA, a macromolecule, can reach macroscopic sizes, as can molecules of many polymers. Molecules commonly used as building blocks for organic synthesis have a dimension of a few angstroms to several dozen angstroms.",Rainforests have four very distinct layers of trees. The first is the emergent layer which has giant trees growing from 100 to 240 feet tall. These trees have umbrella-shaped crowns that grow high above the rest of the forest.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
89,"The next layer is called the canopy. These trees grow up to 130 feet tall, and they form a tight canopy, or covering, over the rest of the forest which allows very little sunlight to come down. The branches and trunks of these trees are covered with smaller plants and appear to be tied together with hundreds of vines.","Classical electromagnetism is a branch of theoretical physics that studies the interactions between electric charges and currents using an extension of the classical Newtonian model. The theory provides an excellent description of electromagnetic phenomena whenever the relevant length scales and field strengths are large enough thatquantum mechanical effects are negligible. For small distances and low field strengths, such interactions are better described byquantum electrodynamics.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
90,"For ""closed systems"" with no external source or sink of energy, the first law of thermodynamics states that a system's energy is constant unless energy is transferred in or out by mechanical work or heat, and that no energy is lost in transfer. This means that it is impossible to create or destroy energy. The second law of thermodynamics states that all systems doing work always lose some energy as waste heat","The final layer of the rainforest is the forest floor. It is surprisingly dark and less than 2% of the sun's light reaches this area. Because the sun's rays don't shine on the ground, there is very little plant life on the forest floor.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
91,There are many reasons to use alternative energy sources. One reason is to reduce pollutants and greenhouse gases. Alternative or renewable energy sources help to reduce the amount of toxins that are a result of traditional energy use.,"Because electromagnetic (EM) radiation can be conceptualized as a stream of photons, radiant energy can be viewed as the energy carried by these photons. Alternatively, EM radiation can be viewed as an electromagnetic wave, which carries energy in its oscillating electric and magnetic fields. These two views are completely equivalent and are reconciled to one another in quantum field theory (see wave-particle duality).",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
92,"Infrared astronomy is the branch of astronomy and astrophysics that studies astronomical objects visible in infrared (IR) radiation. The wavelength of infrared light ranges from 0.75 to 300 micrometers. Infrared falls in between visible radiation, which ranges from 380 to 750 nanometers, and submillimeter waves.","Wind power is the ability to capture the wind in a way to propel the blades of wind turbines. When the blades rotate, this movement is switched into electrical current with the help of an electrical generator. In older windmills, wind energy turned mechanical machinery to do the physical work like crushing grain to make bread or pumping water to get water.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
93,"Solar energy is used for heating, cooking, making electricity, and even taking salt out of saltwater so the water can be drinkable and used for additional purposes that do not need the salt. Solar power uses sunlight that hits the solar thermal panels to convert the sunlight to heat either air or water. Other methods of using solar power include simply opening up blinds or shades and letting the sunlight pass into the room or using some type of mirror to heat water and produce steam.","In tort law, a duty of care is a legal obligation which is imposed on an individual requiring adherence to a standard of reasonable care while performing any acts that could foreseeably harm others. It is the first element that must be established to proceed with an action in negligence. The claimant must be able to show a duty of care imposed by law which the defendant has breached.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
94,"Quantum mechanics (QM; also known as quantum physics or quantum theory) including quantum field theory, is a fundamental branch of physics concerned with processes involving, for example, atoms and photons. In such processes, said to be quantized, the action has been observed to be only in integer multiples of the Planck constant, a physical quantity that is exceedingly, indeed perhaps ultimately, small. This is utterly inexplicable in classical physics.",Geothermal means “earth heat”. This energy captures the heat energy under the Earth. Hot rocks under the ground help to heat water to produce steam.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
95,"The power that comes from the potential energy of water that is dammed up supplies energy to a water turbine and generator. Another example of this energy is to make use of tidal power. Today, electric generators can be powered by hydro power that can run backwards as a motor to pump water for later use.","The microprocessor is a multipurpose, programmable device that accepts digital data as input, processes it according to instructions stored in its memory, and provides results as output. It is an example of sequential digital logic, as it has no internal memory. Microprocessors operate on numbers and symbols represented in thebinary numeral system.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
96,"Nearly all sequential logic today is clocked or synchronous logic. In a synchronous circuit, an electronic oscillator called a clock (or clock generator) generates a sequence of repetitive pulses called the clock signal which is distributed to all the memory elements in the circuit. The basic memory element in sequential logic is the flip-flop. ","In your lifetime, there will be more advances made in the field of energy. Your generation will need to value the natural resources that human life needs on this earth. You will need to be part of the ongoing and individual application of alternative energy sources so the Earth stays healthy and our resources stay renewed.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
97,"An ice age is a time period when the temperature of the Earth’s surface and atmosphere is greatly reduced so that there is a presence or expansion of continental ice sheets, polar ice sheets and alpine glaciers in the southern and northern hemispheres. Within this time period, individual pulses of cold climate are considered “glacial periods” and warm intermittent periods are called “interglacial periods”. Using the definition of glacial and interglacial periods, geologists classify the present condition of the world as an ice age that began 2.6 million years ago because the Greenland and Antarctic ice sheets still exist.","Asynchronous sequential logic is not synchronized by a clock signal; the outputs of the circuit change directly in response to changes in inputs. The advantage of asynchronous logic is that it can be faster than synchronous logic, because the circuit doesn't have to wait for a clock signal to process inputs. The speed of the device is potentially limited only by the propagation delays of the logic gates used.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
98,"Gibbs sampling is applicable when the joint distribution is not known explicitly or is difficult to sample from directly, but the conditional distribution of each variable is known and is easy (or at least, easier) to sample from. The Gibbs sampling algorithm generates an instance from the distribution of each variable in turn, conditional on the current values of the other variables. It can be shown that the sequence of samples constitutes a Markov chain, and the stationary distribution of that Markov chain is just the sought-after joint distribution.","The effects of the last glacial period are seen today. The moving ice impacted the landscape of Canada, Greenland, northern Eurasia and Antarctica. Typical features of erratic boulders, till, drumlins, eskers, fjords, kettle lakes, moraines, cirques, horns, etc. were left behind.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
99,"Mount Rushmore known as “The Presidents’ Mountain” is located in the Black Hills of South Dakota. Doane Robinson thought of the idea to have a stoned carved monument as one way to attract people from all over the country to come to his state. Robinson met with Gutzon Borglum, the sculptor who worked on Stone Mountain in Georgia.","Gibbs sampling is commonly used for statistical inference (e.g. determining the best value of a parameter, such as determining the number of people likely to shop at a particular store on a given day, the candidate a voter will most likely vote for, etc.). The idea is that observed data is incorporated into the sampling process by creating separate variables for each piece of observed data and fixing the variables in question to their observed values, rather than sampling from those variables. The distribution of the remaining variables is then effectively a posterior distribution conditioned on the observed data.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
100,"Although some of the variables typically correspond to parameters of interest, others are uninteresting (""nuisance"") variables introduced into the model to properly express the relationships among variables. Although the sampled values represent the joint distribution over all variables, the nuisance variables can simply be ignored when computing expected values or modes; this is equivalent to marginalizing over the nuisance variables. When a value for multiple variables is desired, the expected value is simply computed over each variable separately.","Susan knew that her language arts teacher encouraged the students to become better writers by keeping a journal of stories. Mr. Christiansen would assign topics every night, but once in awhile there would be a free choice writing and the students could write about any topic of their choice. When Mr. Christiansen announced that Wednesday’s topic would be free choice, Susan was delighted.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
101,"She wanted to write about unicorns. Susan knew unicorns were just make-believe, but she wanted to understand more about how the unicorn creature came about. Susan decided that she needed to do more research first before writing her journal entry. ","Generalized linear models (i.e. variations of linear regression) can sometimes be handled by Gibbs sampling as well. For example, probit regression for determining the probability of a given binary (yes/no) choice, with normally distributed priors placed over the regression coefficients, can be implemented with Gibbs sampling because it is possible to add additional variables and take advantage of conjugacy. However, logistic regression cannot be handled this way",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
102,"In the case where the child nodes of the collapsed nodes themselves have children, the conditional distribution of one of these child nodes given all other nodes in the graph will have to take into account the distribution of these second-level children. In particular, the resulting conditional distribution will be proportional to a product of the compound distribution as defined above, and the conditional distributions of all of the child nodes given their parents (but not given their own children). This follows from the fact that the full conditional distribution is proportional to the joint distribution. ","Susan walked to the computer lab and found a computer that was not being used. It was in the far corner of the lab, so this spot would be a little quieter for her. First, she decided to read about myths.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
